City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Maroantsetra,MG,2021-04-15 19:12:25,-15.4333,49.7333,77.18,88,81,1.5
233,Te Anau,NZ,2021-04-15 19:12:25,-45.4167,167.7167,49.84,93,99,4.41
234,Mbanza-Ngungu,CD,2021-04-15 19:12:26,-5.25,14.8667,71.31,89,100,2.75
235,Srednekolymsk,RU,2021-04-15 19:11:08,67.45,153.6833,5.18,95,100,4.65
236,Hambantota,LK,2021-04-15 19:12:26,6.1241,81.1185,77.0,100,40,2.3
237,Veraval,IN,2021-04-15 19:12:27,20.9,70.3667,78.78,76,0,11.39
238,Maun,BW,2021-04-15 19:12:27,-19.9833,23.4167,71.6,40,0,3.44
239,Santa Elena,EC,2021-04-15 19:12:27,-2.2333,-80.85,80.6,78,0,11.5
240,Lompoc,US,2021-04-15 19:09:52,34.6391,-120.4579,62.01,72,3,14.97
241,Meulaboh,ID,2021-04-15 19:12:28,4.1363,96.1285,79.45,80,100,2.19
242,Nabari,JP,2021-04-15 19:12:28,34.6167,136.0833,57.99,77,90,9.15
243,Yerbogachen,RU,2021-04-15 19:12:28,61.2767,108.0108,25.61,93,100,15.86
244,Tasiilaq,GL,2021-04-15 19:12:29,65.6145,-37.6368,30.2,86,90,19.57
245,Tacuarembo,UY,2021-04-15 19:12:29,-31.7333,-55.9833,77.29,68,19,3.69
246,Challapata,BO,2021-04-15 19:11:11,-18.9,-66.7667,57.56,20,8,7.52
247,Yzeure,FR,2021-04-15 19:12:29,46.5644,3.355,46.0,56,0,5.75
248,Anyang,CN,2021-04-15 19:10:17,36.0994,114.3289,50.97,18,87,3.02
249,Vila Velha,BR,2021-04-15 19:12:30,-20.3297,-40.2925,82.0,65,0,12.66
250,Am Timan,TD,2021-04-15 19:12:30,11.0297,20.2827,93.07,6,60,2.84
251,Shimoda,JP,2021-04-15 19:12:31,34.6667,138.95,51.01,61,100,4.0
252,Urumqi,CN,2021-04-15 19:12:31,43.801,87.6005,51.8,22,0,4.47
253,Timbiqui,CO,2021-04-15 19:12:31,2.7717,-77.6654,80.35,84,100,6.91
254,Ust-Uda,RU,2021-04-15 19:12:32,54.1742,103.0304,20.86,95,47,2.93
255,Vardo,NO,2021-04-15 19:12:32,70.3705,31.1107,30.2,74,75,4.61
256,Methoni,GR,2021-04-15 19:12:32,36.8197,21.7049,60.01,47,20,10.36
257,Asosa,ET,2021-04-15 19:12:33,10.0667,34.5333,74.05,14,5,2.55
258,Kavaratti,IN,2021-04-15 19:12:33,10.5669,72.642,84.33,71,6,7.54
259,Yeppoon,AU,2021-04-15 19:12:33,-23.1333,150.7333,62.6,88,2,4.38
260,Tazovskiy,RU,2021-04-15 19:12:34,67.4667,78.7,-3.19,90,68,18.01
261,Novaci,RO,2021-04-15 19:12:34,45.1833,23.6667,37.09,83,96,4.63
262,Bulaevo,KZ,2021-04-15 19:12:35,54.9056,70.4439,39.63,83,15,9.57
263,San Carlos De Bariloche,AR,2021-04-15 19:12:03,-41.1456,-71.3082,70.0,29,0,13.8
264,Namibe,AO,2021-04-15 19:12:36,-15.1961,12.1522,80.38,82,8,6.6
265,Cayenne,GF,2021-04-15 19:09:25,4.9333,-52.3333,82.4,78,75,13.8
266,Hasaki,JP,2021-04-15 19:08:32,35.7333,140.8333,42.8,93,40,3.44
267,Tilichiki,RU,2021-04-15 19:12:36,60.4667,166.1,33.46,92,100,22.88
268,Ixtapa,MX,2021-04-15 19:12:37,20.7,-105.2,80.6,65,1,10.36
269,Omis,HR,2021-04-15 19:12:37,43.4447,16.6886,50.0,32,0,11.5
270,Beringovskiy,RU,2021-04-15 19:12:37,63.05,179.3167,23.83,94,100,11.63
271,Biltine,TD,2021-04-15 19:12:38,14.5333,20.9167,86.02,5,43,13.6
272,Pushkinskiye Gory,RU,2021-04-15 19:12:38,57.0209,28.9103,43.61,72,100,12.08
273,Baracoa,CU,2021-04-15 19:12:38,20.3467,-74.4958,79.57,57,76,7.29
274,Parana,AR,2021-04-15 19:10:59,-31.732,-60.5238,86.0,32,0,4.0
275,Soledad,CO,2021-04-15 19:12:16,10.9184,-74.7646,89.6,62,40,14.97
276,Harrogate,GB,2021-04-15 19:12:39,53.9908,-1.5373,51.8,43,40,8.05
277,Marzuq,YE,2021-04-15 19:12:39,14.4,46.4667,69.67,65,14,6.98
278,Houma,US,2021-04-15 19:12:40,29.5958,-90.7195,70.0,83,90,13.8
279,Olenino,RU,2021-04-15 19:12:40,56.2092,33.4889,45.57,84,100,15.43
280,Sarankhola,BD,2021-04-15 19:12:40,22.3082,89.7897,80.8,78,100,10.18
281,San Patricio,US,2021-04-15 19:12:41,28.017,-97.5169,73.99,100,90,14.97
282,Nanortalik,GL,2021-04-15 19:12:41,60.1432,-45.2371,28.24,74,49,38.63
283,Visby,SE,2021-04-15 19:09:56,57.6409,18.296,39.0,81,90,14.97
284,Hede,CN,2021-04-15 19:12:42,33.7681,120.2517,51.21,95,100,6.93
285,Bangkalan,ID,2021-04-15 19:12:42,-7.0455,112.7351,80.6,83,20,5.75
286,Two Rivers,US,2021-04-15 19:12:42,44.1539,-87.5693,48.99,61,90,10.36
287,Kieta,PG,2021-04-15 19:12:43,-6.2167,155.6333,79.16,85,91,3.44
288,Bidar,IN,2021-04-15 19:12:43,17.9,77.55,81.3,39,35,11.88
289,Collie,AU,2021-04-15 19:12:43,-33.3667,116.15,55.0,89,97,4.14
290,Khuzhir,RU,2021-04-15 19:12:44,53.1939,107.3397,25.02,80,99,7.47
291,Portland,US,2021-04-15 19:10:46,45.5234,-122.6762,70.0,32,20,4.61
