City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Luderitz,NA,-26.6481,15.1594,77.27,42,19,6.71,few clouds
228,Komsomolskiy,UZ,40.4272,71.7189,57.2,62,8,6.91,clear sky
229,Port Macquarie,AU,-31.4333,152.9167,53.01,96,3,4.0,clear sky
230,Nanchang,CN,28.6833,115.8833,59.11,72,100,1.9,overcast clouds
231,Yenangyaung,MM,20.4667,94.8833,83.57,50,1,4.56,clear sky
232,Bayji,IQ,34.9311,43.487,81.9,21,5,8.08,clear sky
233,Gamba,GA,-2.65,10.0,78.24,87,100,1.61,light rain
234,Mao,ES,39.8885,4.2658,53.6,50,0,5.75,clear sky
235,Bonavista,CA,48.6499,-53.1147,39.2,93,100,6.91,light rain
236,Yumen,CN,40.2833,97.2,52.84,30,100,9.8,overcast clouds
237,Pisco,PE,-13.7,-76.2167,71.6,73,0,6.91,clear sky
238,Lasa,IT,46.6166,10.7002,57.2,56,20,8.05,few clouds
239,Sobolevo,RU,54.4299,31.8996,42.51,86,80,8.93,broken clouds
240,Isangel,VU,-19.55,169.2667,77.49,86,25,7.7,scattered clouds
241,Rincon,US,32.296,-81.2354,78.8,53,75,8.05,broken clouds
242,Sumbe,AO,-11.2061,13.8437,81.66,83,62,7.61,broken clouds
243,Ribeira Grande,PT,38.5167,-28.7,64.4,88,20,9.22,few clouds
244,Raga,SS,8.4596,25.678,86.25,29,100,2.24,overcast clouds
245,Manbij,SY,36.5281,37.9549,66.2,59,75,2.33,broken clouds
246,Zvishavane,ZW,-20.3267,30.0665,56.43,61,0,3.56,clear sky
247,Nelson Bay,AU,-32.7167,152.15,53.01,100,40,6.91,scattered clouds
248,Lorengau,PG,-2.0226,147.2712,80.98,81,100,8.3,overcast clouds
249,College,US,64.8569,-147.8028,46.4,45,40,3.44,scattered clouds
250,Syracuse,IT,37.0881,15.2792,57.2,82,20,6.91,few clouds
251,Geraldton,AU,-28.7667,114.6,62.6,63,0,9.22,clear sky
