City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Faanui,PF,82.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
296,Sakakah,SA,80.6,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
297,Isla,PH,76.62,overcast clouds,15.8939,120.3036,Green Apple Inn
298,Bubaque,GW,77.94,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
307,Puerto Leguizamo,CO,88.2,broken clouds,-0.1934,-74.7819,la casona de juancho
311,Touros,BR,78.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
323,Buraydah,SA,82.4,clear sky,26.326,43.975,فندق راحة السلام
326,Umm Lajj,SA,80.6,clear sky,25.0213,37.2685,Moon light Furnished Units
333,Bathsheba,BB,86.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
334,Sur,OM,82.49,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
344,Batticaloa,LK,81.75,moderate rain,7.7102,81.6924,Grand Star Guest House
347,Wanning,CN,75.38,few clouds,18.8003,110.3967,Paradise Hotel
349,Balabac,PH,81.57,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
353,Karratha,AU,79.39,clear sky,-20.7377,116.8463,ibis Styles Karratha
354,Bandarbeyla,SO,82.42,scattered clouds,9.4942,50.8122,JABIR HOTEL
360,Caravelas,BR,80.92,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
